date;region;new_visitors;returning_visitors
2019-07-01;Porta San Donato;5298;18362
2019-07-03;Porta San Donato;6045;19305
2019-07-09;Porta San Donato;5642;20551
2019-07-13;Porta San Donato;6030;19090
2019-07-15;Porta San Donato;5406;19004
2019-07-16;Porta San Donato;6162;21783
2019-07-20;Porta San Donato;4942;16910
2019-07-22;Porta San Donato;4266;18314
2019-07-24;Porta San Donato;4401;18507
2019-07-25;Porta San Donato;4801;19060
2019-07-26;Porta San Donato;4427;18818
2019-07-29;Porta San Donato;4180;17727
2019-07-31;Porta San Donato;3978;16779
2019-07-01;Piazza Puntoni (Via Zamboni);1463;7542
2019-07-02;Piazza Puntoni (Via Zamboni);2152;8345
2019-07-06;Piazza Puntoni (Via Zamboni);1756;5280
2019-07-09;Piazza Puntoni (Via Zamboni);2557;8800
2019-07-10;Piazza Puntoni (Via Zamboni);3317;8775
2019-07-12;Piazza Puntoni (Via Zamboni);2016;8315
2019-07-21;Piazza Puntoni (Via Zamboni);1094;3449
2019-07-24;Piazza Puntoni (Via Zamboni);1430;5873
2019-07-27;Piazza Puntoni (Via Zamboni);1253;3507
2019-07-02;Via San Giacomo;4169;11934
2019-07-04;Via San Giacomo;3918;11856
2019-07-08;Via San Giacomo;3645;11464
2019-07-09;Via San Giacomo;5440;12170
2019-07-11;Via San Giacomo;5759;12950
2019-07-15;Via San Giacomo;2926;9062
2019-07-16;Via San Giacomo;4161;12241
2019-07-17;Via San Giacomo;7237;12585
2019-07-18;Via San Giacomo;4134;11294
2019-07-19;Via San Giacomo;3668;10011
2019-07-21;Via San Giacomo;1627;5015
2019-07-23;Via San Giacomo;2187;8269
2019-07-24;Via San Giacomo;2107;8109
2019-07-29;Via San Giacomo;2431;6274
2019-07-30;Via San Giacomo;1801;6179
2019-07-31;Via San Giacomo;1875;5942
2019-07-01;Piazza Scaravilli;1699;6612
2019-07-08;Piazza Scaravilli;1542;4988
2019-07-12;Piazza Scaravilli;0;0
2019-07-15;Piazza Scaravilli;0;0
2019-07-24;Piazza Scaravilli;1117;4600
2019-07-27;Piazza Scaravilli;1001;2317
2019-07-29;Piazza Scaravilli;1464;3446
2019-07-31;Piazza Scaravilli;1103;3209
2019-07-06;Palazzo Poggi;4;41
2019-07-12;Palazzo Poggi;1956;7751
2019-07-15;Palazzo Poggi;0;0
2019-07-20;Palazzo Poggi;306;1297
2019-07-26;Palazzo Poggi;1561;4365
2019-07-31;Palazzo Poggi;976;3409
2019-07-03;Via Del Guasto;0;0
2019-07-04;Via Del Guasto;0;0
2019-07-06;Via Del Guasto;0;0
2019-07-09;Via Del Guasto;0;0
2019-07-10;Via Del Guasto;0;0
2019-07-11;Via Del Guasto;0;0
2019-07-13;Via Del Guasto;1134;3612
2019-07-16;Via Del Guasto;1458;6257
2019-07-20;Via Del Guasto;974;3064
2019-07-23;Via Del Guasto;682;3689
2019-07-29;Via Del Guasto;688;2861
2019-07-02;Piazza Verdi;6852;14566
2019-07-03;Piazza Verdi;4674;13190
2019-07-04;Piazza Verdi;4828;14554
2019-07-23;Piazza Verdi;4344;10949
2019-07-26;Piazza Verdi;3798;10414
2019-07-28;Piazza Verdi;2887;6575
2019-07-29;Piazza Verdi;3107;8539
2019-07-05;Facoltà Di Giurisprudenza;4212;11208
2019-07-07;Facoltà Di Giurisprudenza;4064;8319
2019-07-11;Facoltà Di Giurisprudenza;5615;13068
2019-07-16;Facoltà Di Giurisprudenza;4929;12254
2019-07-17;Facoltà Di Giurisprudenza;5103;12850
2019-07-20;Facoltà Di Giurisprudenza;5009;9034
2019-07-24;Facoltà Di Giurisprudenza;3353;9267
2019-07-25;Facoltà Di Giurisprudenza;3910;9390
2019-07-01;Piazza Rossini (Palazzo Malvezzi);2981;11482
2019-07-03;Piazza Rossini (Palazzo Malvezzi);3721;11552
2019-07-11;Piazza Rossini (Palazzo Malvezzi);5279;14525
2019-07-15;Piazza Rossini (Palazzo Malvezzi);2581;9154
2019-07-16;Piazza Rossini (Palazzo Malvezzi);5292;13618
2019-07-17;Piazza Rossini (Palazzo Malvezzi);4682;14505
2019-07-23;Piazza Rossini (Palazzo Malvezzi);3327;9994
2019-07-25;Piazza Rossini (Palazzo Malvezzi);3709;10412
2019-07-01;2 Torri (Inizio Portico Via Zamboni);3700;9509
2019-07-04;2 Torri (Inizio Portico Via Zamboni);5036;10389
2019-07-12;2 Torri (Inizio Portico Via Zamboni);5391;11305
2019-07-17;2 Torri (Inizio Portico Via Zamboni);6099;11892
2019-07-20;2 Torri (Inizio Portico Via Zamboni);6370;8880
2019-07-21;2 Torri (Inizio Portico Via Zamboni);4351;6706
2019-07-22;2 Torri (Inizio Portico Via Zamboni);4074;8839
2019-07-25;2 Torri (Inizio Portico Via Zamboni);4552;9218
2019-07-26;2 Torri (Inizio Portico Via Zamboni);4044;9061
2019-09-01;Porta San Donato;5867;11074
2019-09-07;Porta San Donato;8766;17175
2019-09-09;Porta San Donato;7356;19251
2019-09-12;Porta San Donato;8174;22124
2019-09-15;Porta San Donato;6153;16704
2019-09-20;Porta San Donato;8097;25889
2019-09-21;Porta San Donato;8684;24355
2019-09-22;Porta San Donato;6158;18093
2019-09-24;Porta San Donato;7170;28464
2019-09-26;Porta San Donato;7030;29221
2019-09-02;Piazza Puntoni (Via Zamboni);2884;4752
2019-09-03;Piazza Puntoni (Via Zamboni);3078;5785
2019-09-04;Piazza Puntoni (Via Zamboni);2976;6150
2019-09-05;Piazza Puntoni (Via Zamboni);2887;6733
2019-09-09;Piazza Puntoni (Via Zamboni);2836;6763
2019-09-14;Piazza Puntoni (Via Zamboni);2441;5774
2019-09-16;Piazza Puntoni (Via Zamboni);3361;9330
2019-09-18;Piazza Puntoni (Via Zamboni);3223;9949
2019-09-21;Piazza Puntoni (Via Zamboni);2551;6975
2019-09-24;Piazza Puntoni (Via Zamboni);2921;12711
2019-09-27;Piazza Puntoni (Via Zamboni);4430;14636
2019-09-29;Piazza Puntoni (Via Zamboni);2256;6444
2019-09-03;Via San Giacomo;6207;7925
2019-09-07;Via San Giacomo;4627;7181
