id;title;description;url;coordinate;address;categories_1;categories_2;categories_3;online;start;end;date_multiple;bolognaestate;quartiere
116316;Flower Power;;https://www.culturabologna.it/flower-power-30dic2021;44.496719, 11.365923;Via Libia 59 - Bologna;spettacoli;;;NO;2021-12-30;2021-12-31;;NO;San Donato - San Vitale
119515;Capodanno Poppen | Dacci un taglio! / RINVIATO;;https://www.culturabologna.it/capodanno-poppen-dacci-un-taglio;44.52187, 11.371001;Via Stalingrado 83 (Parco Nord) - Bologna;musica;;;NO;2021-12-31;;;NO;Navile
119584;Canzoni dal balcone, ma fatte un po’ meglio;uno spettacolo di musica e immagini, tutto da ridere;https://www.culturabologna.it/canzoni-dal-balcone-ma-fatte-un-po-meglio;44.501495, 11.313364;via Cimabue 14 – Bologna;musica;;;NO;2021-12-31;2022-01-01;;NO;Porto - Saragozza
114686;Bologna la beautiful | ANNULLATO;Un nuovo paradigma per la città;https://www.culturabologna.it/bologna-la-beautiful;44.49968, 11.343528;Via dell'Indipendenza 44 - 40121 Bologna;musica;;;NO;2021-12-30;2021-12-31;;NO;Porto - Saragozza
119192;Morgan & Comuninstagram | ANNULLATO;il nuovo progetto live di Marco Castoldi, in arte Morgan. Apre la serata Lisbona e a seguire dj set di Volare;https://www.culturabologna.it/morgan-comuninstagram;44.504673, 11.326874;via Camillo Casarini 19 - Bologna;musica;;;NO;2021-12-31;;;NO;Porto - Saragozza
118853;ANNULLATO | Capodanno Sonato: Electropical  feat. Dj Farrapo y Orchestra Caribe;;https://www.culturabologna.it/capodanno-sonato-electropical-feat-dj-farrapo-y-orchestra-caribe;44.501945, 11.362261;Via Tartini 3, Bologna;musica;;;NO;2021-12-31;;;NO;San Donato - San Vitale
115361;Laboratory of Forms;"prima retrospettiva in Italia di;Jan Groover | Foto/Industria 2021";https://www.culturabologna.it/jan-groover-laboratory-of-forms;44.50272, 11.336569;Via Don Minzoni, 14 - Bologna;mostre;;;NO;2021-10-14;2022-01-02;;NO;Porto - Saragozza
118616;Don Juan | SPETTACOLO SOSTITUITO;Fondazione Nazionale della Danza Aterballetto | 29, 30, 31 dicembre 2021 e 2 gennaio 2022;https://www.culturabologna.it/don-juan;44.496799, 11.349457;Largo Respighi 1 Bologna;spettacoli;;;NO;2021-12-29;2022-01-02;2021-12-29,2021-12-30,2021-12-31,2022-01-02;NO;Santo Stefano
119654;Un trittico;Fondazione Nazionale della Danza Aterballetto | 29, 30, 31 dicembre 2021 e 2 gennaio 2022;https://www.culturabologna.it/un-trittico;44.496799, 11.349457;Largo Respighi 1 Bologna;spettacoli;;;NO;2021-12-29;2022-01-02;2021-12-29,2021-12-30,2021-12-31,2022-01-02;NO;Santo Stefano
119399;Capodanno a FICO;un veglione tra divertimento e gusto;https://www.culturabologna.it/capodanno-a-fico;44.514732, 11.410668;via Paolo Canali, 8 - Bologna;musica;;;NO;2021-12-31;;;NO;San Donato - San Vitale
107618;Cronache dei Sepolcri | vita e misteri della Grande Certosa di Bologna;online;https://www.culturabologna.it/cronache-dei-sepolcri-vita-e-misteri-della-grande-certosa-di-bologna;44.494888, 11.342616;;visite-guidate;itinerari;;Sì;2021-09-22;2021-12-31;;NO;Santo Stefano
117562;Neri Marcorè | Le mie canzoni altrui;Teatro EuropAuditorium Stagione 2021/2022;https://www.culturabologna.it/neri-marcore-le-mie-canzoni-altrui;44.512081, 11.362572;Piazza Costituzione, 4 - Bologna;musica;;;NO;2021-12-31;;;NO;San Donato - San Vitale
116588;Oblivion Rhapsody;Teatro Duse Stagione 2021/2022;https://www.culturabologna.it/oblivion-rhapsody;44.488541, 11.348225;via Cartoleria, 42 - Bologna;spettacoli;;;NO;2021-12-30;2022-01-02;;NO;Santo Stefano
119259;Teatro di natura;a partire dal nuovo libro di Michelangelo Setola, una mostra diffusa per celebrare i 500 anni della nascita di Ulisse Aldrovandi.;https://www.culturabologna.it/teatro-di-natura-1;44.494888, 11.342616;;mostre;;;NO;2021-12-17;2022-03-31;;NO;Santo Stefano
