codice;codice_via;nomevia;codviada;nome_via_origine;codice_via_destinazione;nome_via_destinazione;ordinanza;stato;lunghezza;larghezza;codice_utilizzo;duso;tipologia_percorso;codarco1;nomevia1;codarco2;nomevia2;codarco3;nomevia3;codarco4;nomevia4;codarco5;nomevia5;geo_point_2d;geo_shape;tipologia;nomequart
664;0;;0;;0;;4000/343434;A;185.0;0.0;6708;Percorso naturalistico;sterrato;;;;;;;;;;;44.5396940822, 11.3475255835;"{""coordinates"": [[[11.34810641485567, 44.540407790265995], [11.348101245872146, 44.540321646775254], [11.348082864843192, 44.54025007200042], [11.348073119522349, 44.54020045898182], [11.34799950265522, 44.540105106316766], [11.347901974265788, 44.539993634289694], [11.3478234819712, 44.53987346671058], [11.347757610096068, 44.53977794590141], [11.347712773860106, 44.53972350784654], [11.347652773502759, 44.539677680301175], [11.34752568980613, 44.53960277161078], [11.347269313001107, 44.53949544637794], [11.347005830329918, 44.5393060968376], [11.346870159833914, 44.53921494384872], [11.346766667060615, 44.53911482496369]]], ""type"": ""MultiLineString""}";6720;Navile
691;55950;VIA STALINGRADO;0;;0;;4000/343434;A;385.0;0.0;3002;Ciclabile;sede propria;3644;;;;;;;;;;44.5296890647, 11.3669744809;"{""coordinates"": [[[11.367216824935097, 44.531406524841465], [11.367141797332605, 44.53070804522923], [11.366878801383995, 44.529578090516445], [11.36685886564554, 44.529405040327745], [11.366896388654869, 44.52927480389335], [11.366887217275934, 44.52885749709326], [11.36679551494911, 44.527965173367434]]], ""type"": ""MultiLineString""}";2901;Navile
699;0;;0;;0;;4000/343434;A;107.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.5033717265, 11.2625965981;"{""coordinates"": [[[11.262954939944514, 44.503755000167075], [11.262917403345183, 44.50374758153152], [11.262882255188337, 44.50372780593665], [11.262851408940074, 44.50367101995357], [11.262800758255148, 44.5036208039577], [11.262739129678037, 44.50358312641185], [11.26269221216245, 44.50355539646642], [11.262365357949088, 44.503031083920916], [11.262341344461394, 44.503002878600405], [11.262300231308263, 44.50297708556755], [11.262257450674435, 44.50297019459738]]], ""type"": ""MultiLineString""}";2901;Borgo Panigale - Reno
700;0;;0;;0;;4000/343434;A;97.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.5031541367, 11.2617001908;"{""coordinates"": [[[11.262259988712735, 44.50297383381644], [11.261210195186774, 44.50331301852734], [11.261137255477191, 44.503318381365915]]], ""type"": ""MultiLineString""}";2901;Borgo Panigale - Reno
703;0;;0;;0;;4000/343434;A;115.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.5018843573, 11.2605448928;"{""coordinates"": [[[11.260579079507481, 44.50240092293206], [11.260560651054238, 44.502294666900674], [11.260550507455394, 44.50210622204969], [11.2605265539101, 44.50136631481308]]], ""type"": ""MultiLineString""}";2901;Borgo Panigale - Reno
705;0;;0;;0;;4000/343434;A;227.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.4994388848, 11.260996182;"{""coordinates"": [[[11.26051115279992, 44.500397249881075], [11.260820467279073, 44.499702319758505], [11.2612270277593, 44.49881345047999], [11.26149565298718, 44.49887379253448], [11.261582316085759, 44.49887440837898], [11.261617649549965, 44.49884031203787], [11.26165540457311, 44.498777128629534]]], ""type"": ""MultiLineString""}";2901;Borgo Panigale - Reno
708;52550;VIA DELLA SALUTE;44580;VIA LUIGI PASTEUR;30620;VIA MARTIN LUTHER KING;2004/204061;A;110.0;0.0;3003;Pedonale-Ciclabile;promiscuo ciclopedonale;2412;VIA DELLA SALUTE;2415;VIA DELLA SALUTE;;;;;;;44.5202081577, 11.2715911652;"{""coordinates"": [[[11.271880918321498, 44.52065775816929], [11.27130141211396, 44.51975855723467]]], ""type"": ""MultiLineString""}";6717;Borgo Panigale - Reno
719;0;;0;;0;;2004/204061;A;64.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.5170676427, 11.280952895;"{""coordinates"": [[[11.281196994906121, 44.51685157012461], [11.2811399707918, 44.516874094162525], [11.281049382108444, 44.51694087841258], [11.280932039807537, 44.51707805517279], [11.28074140512783, 44.5173223771353]]], ""type"": ""MultiLineString""}";2901;Borgo Panigale - Reno
724;0;;0;;0;;4000/343434;A;110.0;0.0;3003;Pedonale-Ciclabile;promiscuo ciclopedonale;;;;;;;;;;;44.5193106585, 11.2757286887;"{""coordinates"": [[[11.276343358501176, 44.519188497285434], [11.276141751034451, 44.51913428082945], [11.275807814120178, 44.51927267402549], [11.275565297049068, 44.51937305192749], [11.27511480109885, 44.51952824888561]]], ""type"": ""MultiLineString""}";6717;Borgo Panigale - Reno
729;0;;0;;0;;2004/204061;A;48.0;0.0;3002;Ciclabile;sede propria;;;;;;;;;;;44.5161922458, 11.2831782108;"{""coordinates"": [[[11.282905531201603, 44.516373196996895], [11.283105095018378, 44.51625390063238], [11.283342929124826, 44.51607269011066]], [[11.28329845859913, 44.516156876277], [11.283342929124826, 44.51607269011066]], [[11.283342929124826, 44.51607269011066], [11.28322829414108, 44.5161097307135]]], ""type"": ""MultiLineString""}";2901;Borgo Panigale - Reno
