codice;codice_linea;denominazione;ubicazione;comune;codice_zona;quartiere;geopoint
60574;673;OPPIO;VIA PROVINCIALE FR 97/C;CRESPELLANO;558;FUORI BOLOGNA;44.510467, 11.148898
60578;94;PRAGATTO;VIA PROVINCIALE 175;CRESPELLANO;558;FUORI BOLOGNA;44.51068, 11.137092
60578;672;PRAGATTO;VIA PROVINCIALE 175;CRESPELLANO;558;FUORI BOLOGNA;44.51068, 11.137092
60582;672;CRESPELLANO;VIA BAZZANESE 243;CRESPELLANO;558;FUORI BOLOGNA;44.512183, 11.129409
60582;FBV;CRESPELLANO;VIA BAZZANESE 243;CRESPELLANO;558;FUORI BOLOGNA;44.512183, 11.129409
60586;673;MUFFA;VIA PROVINCIALE 312;MUFFA;558;FUORI BOLOGNA;44.509516, 11.110114
60586;672;MUFFA;VIA PROVINCIALE 312;MUFFA;558;FUORI BOLOGNA;44.509516, 11.110114
60589;672;BAZZANO SIRENA;VIA PROVINCIALE EST 8;BAZZANO;558;FUORI BOLOGNA;44.505922, 11.094561
60589;656;BAZZANO SIRENA;VIA PROVINCIALE EST 8;BAZZANO;558;FUORI BOLOGNA;44.505922, 11.094561
60590;673;BAZZANO SIRENA;VIA PROVINCIALE EST 67;BAZZANO;558;FUORI BOLOGNA;44.505818, 11.094368
60590;671;BAZZANO SIRENA;VIA PROVINCIALE EST 67;BAZZANO;558;FUORI BOLOGNA;44.505818, 11.094368
60590;672;BAZZANO SIRENA;VIA PROVINCIALE EST 67;BAZZANO;558;FUORI BOLOGNA;44.505818, 11.094368
60593;671;BAZZANO CIRC. NORD PERTIN;VIA CIRCONVALLAZIONE NORD FR 97;BAZZANO;558;FUORI BOLOGNA;44.506663, 11.084561
60593;94;BAZZANO CIRC. NORD PERTIN;VIA CIRCONVALLAZIONE NORD FR 97;BAZZANO;558;FUORI BOLOGNA;44.506663, 11.084561
60593;658;BAZZANO CIRC. NORD PERTIN;VIA CIRCONVALLAZIONE NORD FR 97;BAZZANO;558;FUORI BOLOGNA;44.506663, 11.084561
60593;651;BAZZANO CIRC. NORD PERTIN;VIA CIRCONVALLAZIONE NORD FR 97;BAZZANO;558;FUORI BOLOGNA;44.506663, 11.084561
60593;657;BAZZANO CIRC. NORD PERTIN;VIA CIRCONVALLAZIONE NORD FR 97;BAZZANO;558;FUORI BOLOGNA;44.506663, 11.084561
60593;654;BAZZANO CIRC. NORD PERTIN;VIA CIRCONVALLAZIONE NORD FR 97;BAZZANO;558;FUORI BOLOGNA;44.506663, 11.084561
60594;657;BAZZANO CIRC. NORD PERTIN;VIA CIRCONVALLAZIONE NORD 61;BAZZANO;558;FUORI BOLOGNA;44.507089, 11.083909
60594;651;BAZZANO CIRC. NORD PERTIN;VIA CIRCONVALLAZIONE NORD 61;BAZZANO;558;FUORI BOLOGNA;44.507089, 11.083909
60594;94;BAZZANO CIRC. NORD PERTIN;VIA CIRCONVALLAZIONE NORD 61;BAZZANO;558;FUORI BOLOGNA;44.507089, 11.083909
60594;656;BAZZANO CIRC. NORD PERTIN;VIA CIRCONVALLAZIONE NORD 61;BAZZANO;558;FUORI BOLOGNA;44.507089, 11.083909
60594;658;BAZZANO CIRC. NORD PERTIN;VIA CIRCONVALLAZIONE NORD 61;BAZZANO;558;FUORI BOLOGNA;44.507089, 11.083909
60594;671;BAZZANO CIRC. NORD PERTIN;VIA CIRCONVALLAZIONE NORD 61;BAZZANO;558;FUORI BOLOGNA;44.507089, 11.083909
60596;654;BAZZANO STAZIONE;VIA GRAMSCI;BAZZANO;558;FUORI BOLOGNA;44.508274, 11.078668
60596;646;BAZZANO STAZIONE;VIA GRAMSCI;BAZZANO;558;FUORI BOLOGNA;44.508274, 11.078668
60598;672;BAZZANO STAZIONE;VIA PROVINCIALE OVEST FR 1;BAZZANO;558;FUORI BOLOGNA;44.508686, 11.078795
60599;94;BAZZANO STAZIONE;VIA PROVINCIALE OVEST;BAZZANO;558;FUORI BOLOGNA;44.508835, 11.079002
60599;FBV;BAZZANO STAZIONE;VIA PROVINCIALE OVEST;BAZZANO;558;FUORI BOLOGNA;44.508835, 11.079002
60599;651;BAZZANO STAZIONE;VIA PROVINCIALE OVEST;BAZZANO;558;FUORI BOLOGNA;44.508835, 11.079002
60600;672;MUZZA SPADETTA;VIA MUZZA SPADETTA CIV. 24;BAZZANO;558;FUORI BOLOGNA;44.507412, 11.067679
60601;654;BAZZANO ROVERI;VIA PROVINCIALE OVEST 7;BAZZANO;558;FUORI BOLOGNA;44.505522, 11.072104
60602;671;BAZZANO ROVERI;VIA PROVINCIALE OVEST FR 7;BAZZANO;558;FUORI BOLOGNA;44.50527, 11.071579
60606;671;CONFINE;VIA CLAUDIA FR 84;BAZZANO;558;FUORI BOLOGNA;44.503202, 11.063996
60606;672;CONFINE;VIA CLAUDIA FR 84;BAZZANO;558;FUORI BOLOGNA;44.503202, 11.063996
60610;672;PRA MARTINO;VIA CLAUDIA 847;SAVIGNANO SUL PANARO;444;FUORI BOLOGNA;44.500093, 11.056163
60614;672;SAVIGNANO S/PANARO MULINO;VIA CLAUDIA 2059;MULINO;444;FUORI BOLOGNA;44.492435, 11.045479
60614;FBV;SAVIGNANO S/PANARO MULINO;VIA CLAUDIA 2059;MULINO;444;FUORI BOLOGNA;44.492435, 11.045479
60618;671;SAVIGNANO SUL PANARO;VIA CLAUDIA 3803/A;SAVIGNANO SUL PANARO;444;FUORI BOLOGNA;44.480066, 11.034384
60621;654;DOCCIA;VIA CLAUDIA 4170;SAVIGNANO SUL PANARO;444;FUORI BOLOGNA;44.477278, 11.0322
60621;672;DOCCIA;VIA CLAUDIA 4170;SAVIGNANO SUL PANARO;444;FUORI BOLOGNA;44.477278, 11.0322
