date;region;visitors
2019-07-01;Porta San Donato;23660.0
2019-07-01;Palazzo Poggi;8448.0
2019-07-01;Facoltà Di Giurisprudenza;12984.0
2019-07-02;Via San Giacomo;16103.0
2019-07-02;Via Del Guasto;0.0
2019-07-02;Piazza Verdi;21418.0
2019-07-03;Via San Giacomo;14295.0
2019-07-03;Piazza Scaravilli;9461.0
2019-07-03;Facoltà Di Giurisprudenza;13616.0
2019-07-04;Piazza Puntoni (Via Zamboni);10820.0
2019-07-04;Palazzo Poggi;10055.0
2019-07-04;Via Del Guasto;0.0
2019-07-04;Facoltà Di Giurisprudenza;16073.0
2019-07-05;Porta San Donato;26041.0
2019-07-05;Via San Giacomo;14112.0
2019-07-05;Piazza Scaravilli;6162.0
2019-07-05;Facoltà Di Giurisprudenza;15420.0
2019-07-05;Piazza Rossini (Palazzo Malvezzi);17166.0
2019-07-05;2 Torri (Inizio Portico Via Zamboni);16407.0
2019-07-06;Piazza Puntoni (Via Zamboni);7036.0
2019-07-06;Piazza Rossini (Palazzo Malvezzi);14381.0
2019-07-07;Piazza Puntoni (Via Zamboni);6045.0
2019-07-07;Via San Giacomo;9272.0
2019-07-07;Piazza Scaravilli;0.0
2019-07-07;Piazza Verdi;16449.0
2019-07-08;Piazza Puntoni (Via Zamboni);11462.0
2019-07-09;Via Del Guasto;0.0
2019-07-09;Facoltà Di Giurisprudenza;15690.0
2019-07-09;2 Torri (Inizio Portico Via Zamboni);14942.0
2019-07-10;Piazza Puntoni (Via Zamboni);12092.0
2019-07-10;Facoltà Di Giurisprudenza;17600.0
2019-07-10;Piazza Rossini (Palazzo Malvezzi);18455.0
2019-07-10;2 Torri (Inizio Portico Via Zamboni);17864.0
2019-07-11;Piazza Puntoni (Via Zamboni);12946.0
2019-07-11;Piazza Verdi;21992.0
2019-07-11;Facoltà Di Giurisprudenza;18683.0
2019-07-12;Piazza Puntoni (Via Zamboni);10331.0
2019-07-12;Via San Giacomo;15673.0
2019-07-12;Facoltà Di Giurisprudenza;16521.0
2019-07-13;Piazza Puntoni (Via Zamboni);7276.0
2019-07-13;Via San Giacomo;10358.0
2019-07-13;Piazza Scaravilli;0.0
2019-07-13;Piazza Verdi;17659.0
2019-07-13;2 Torri (Inizio Portico Via Zamboni);16452.0
2019-07-14;Piazza Verdi;13141.0
2019-07-14;Facoltà Di Giurisprudenza;12199.0
2019-07-15;Porta San Donato;24410.0
2019-07-15;Facoltà Di Giurisprudenza;13177.0
2019-07-15;Piazza Rossini (Palazzo Malvezzi);11735.0
2019-07-16;Palazzo Poggi;9323.0
2019-07-16;Via Del Guasto;7715.0
2019-07-16;2 Torri (Inizio Portico Via Zamboni);17905.0
2019-07-17;Palazzo Poggi;0.0
2019-07-17;Piazza Verdi;22241.0
2019-07-17;Piazza Rossini (Palazzo Malvezzi);19187.0
2019-07-18;Porta San Donato;28513.0
2019-07-18;Via Del Guasto;6409.0
2019-07-19;Piazza Verdi;19105.0
2019-07-19;Piazza Rossini (Palazzo Malvezzi);16123.0
2019-07-20;Via San Giacomo;9486.0
